82-Pb-204(n,elastic) ENDF/B-VII.1
33217.9,11.4942
33397.1,10.4165
33457.6,10.215
33466.2,10.2737
33470.8,10.5531
33472.4,10.962
33473.9,11.8559
33475.3,13.4824
33476.6,16.042
33479.3,22.9641
33480.6,24.7874
33481.1,24.9541
33482.1,24.186
33483.5,21.4578
33485.7,15.9312
33486.8,13.8341
33487.9,12.3635
33489.4,11.2843
33492.0,10.6206
33501.3,10.2114
33657.6,9.64983
33858.3,9.03642
33901.6,8.56955
33916.3,8.12047
33924.2,7.62033
33929.9,6.89366
33933.4,6.07551
33936.4,5.12724
33937.3,5.02436
33938.1,5.15783
33938.9,5.62545
33939.5,6.26582
33940.2,7.43784
33941.1,9.4556
33942.3,13.2892
33944.1,19.0387
33945.1,21.2459
33946.3,22.235
33946.5,22.2367
33947.9,21.1595
33951.4,15.8844
33953.2,14.1008
33955.1,13.0413
33958.3,12.0322
33961.5,11.4691
33970.7,10.6718
33986.4,10.1359
34034.6,9.6366
34120.6,9.42559
34174.4,9.63664
34193.3,10.0792
34204.9,10.8274
34211.8,11.792
34216.8,13.1236
34220.8,15.0291
34223.8,17.4102
34225.9,20.1375
34227.8,23.7302
34229.4,28.2715
34230.9,34.1253
34232.4,42.7073
34233.9,54.0562
34235.8,73.9682
34238.2,101.859
34239.8,114.247
34241.1,117.859
34242.4,114.368
34244.1,100.499
34247.6,61.8444
34249.3,47.4669
34250.7,38.7068
34252.3,31.4723
34254.0,26.4607
34255.8,22.4538
34258.0,19.3784
34261.0,16.6176
34264.2,14.7639
34268.4,13.2542
34275.4,11.8385
34284.0,10.931
34292.6,10.4242
34314.1,9.81634
34367.9,9.34352
34636.6,8.90193
36711.6,7.72513
36758.5,7.83714
36773.0,8.19129
36777.7,8.56578
36781.2,9.15881
36783.4,9.91434
36785.1,10.9496
36786.6,12.4699
36787.7,14.3831
36788.9,17.1854
36790.2,21.6377
36792.2,30.3583
36794.1,39.0496
36795.3,42.2639
36796.1,42.8998
36797.2,41.6812
36798.4,37.6831
36801.8,22.4249
36803.2,17.9728
36804.3,15.1365
36805.8,12.7903
36807.2,11.3704
36809.1,10.2533
36812.4,9.27201
36818.0,8.55799
36825.1,8.18988
36842.9,7.87178
36950.8,7.59964
37684.3,6.90123
37690.3,6.9935
37692.5,7.31715
37694.1,7.94361
37695.9,9.27003
37698.5,11.6863
37700.0,12.2645
37700.1,12.2668
37701.5,11.8011
37705.2,8.64237
37706.5,7.88227
37708.0,7.35828
37711.3,7.02763
37749.0,6.84741
38299.2,5.91845
38603.6,5.04764
38698.5,4.71237
38710.0,4.81347
38712.7,4.95414
38714.5,5.20495
38716.0,5.68704
38717.3,6.4883
38718.3,7.5361
38719.3,8.99235
38720.5,11.517
38723.1,17.6062
38724.2,19.3506
38725.1,19.7988
38726.1,19.1386
38727.4,16.8909
38730.2,10.3908
38731.4,8.2635
38732.4,6.96601
38733.5,6.12528
38734.8,5.53627
38736.8,5.08945
38740.1,4.82005
38748.5,4.59442
38802.5,4.20264
38896.7,3.67078
38902.2,3.69221
38907.2,3.84874
38909.4,4.12211
38910.9,4.58611
38911.9,5.17528
38912.9,6.11935
38913.9,7.51562
38915.0,9.73867
38918.2,17.5234
38919.3,19.3421
38920.1,19.7432
38921.0,19.216
38922.0,17.6751
38925.2,9.92668
38926.3,7.92715
38927.2,6.53738
38928.2,5.58102
38929.4,4.88356
38930.4,4.49534
38931.8,4.18553
38934.5,3.88042
38940.0,3.62797
38953.3,3.38506
39107.8,1.92057
39237.4,0.49283
39257.4,0.3006
39270.8,0.191546
39279.5,0.133544
39286.4,0.096879
39291.8,0.0744988
39296.4,0.0605206
39300.4,0.0528746
39303.3,0.0501011
39304.8,0.0496536
39308.3,0.05138
39311.7,0.0570585
39315.1,0.0670775
39318.5,0.0818072
39322.5,0.105254
39326.4,0.136307
39331.2,0.184269
39336.5,0.252884
39341.7,0.339854
39347.5,0.459636
39354.1,0.630963
39361.2,0.86504
39368.1,1.14785
39376.5,1.59239
39384.9,2.1528
39393.4,2.86045
39402.9,3.87212
39412.3,5.16568
39422.9,7.01537
39433.1,9.32232
39444.5,12.5849
39456.0,16.8385
39469.2,23.0858
39485.1,32.3723
39518.4,54.319
39534.8,61.8542
39551.7,65.0922
39555.0,65.197
39573.6,63.2862
39649.5,43.5298
39687.4,36.2745
39725.4,31.1075
39775.9,26.3616
39826.5,23.2689
39833.9,23.1429
39838.9,23.6866
39840.8,24.6514
39842.6,26.5815
39844.5,30.6013
39848.4,42.7199
39850.0,44.6695
39850.1,44.6698
39851.4,43.302
39853.6,37.151
39855.9,29.8795
39857.5,26.5809
39859.6,24.1093
39863.2,22.5093
39873.3,21.3426
39921.5,19.3544
40028.8,16.7463
40158.4,14.833
40368.9,12.9907
40437.5,12.614
40448.6,12.8888
40451.4,13.6535
40453.1,14.9325
40454.7,17.2242
40458.4,24.7968
40459.9,26.1171
40460.1,26.1328
40461.4,25.2896
40463.2,21.8922
40465.6,17.1119
40466.9,15.2351
40468.3,14.0408
40470.2,13.2502
40474.7,12.7037
40507.0,12.2521
40552.8,12.0121
40560.0,12.2477
40562.4,12.9757
40563.7,13.9901
40565.5,16.2241
40568.5,21.1025
40570.0,22.1423
40570.2,22.1492
40571.5,21.4727
40573.7,18.2488
40575.7,15.2727
40576.9,14.0585
40578.4,13.0767
40580.0,12.5902
40586.4,12.1075
40679.2,11.5278
40865.5,10.8874
