energy_eV,xs_barns
2.43359400E-04,2.39408700E-03
2.44531300E-04,2.38834300E-03
2.45703200E-04,2.38264100E-03
2.46875000E-04,2.37698000E-03
2.48046900E-04,2.37135800E-03
2.49218800E-04,2.36577600E-03
2.50390700E-04,2.36023300E-03
2.51562500E-04,2.35473000E-03
2.52734400E-04,2.34926400E-03
2.53906300E-04,2.34383600E-03
2.55078200E-04,2.33844600E-03
2.56250000E-04,2.33309300E-03
2.57421900E-04,2.32777700E-03
2.58593800E-04,2.32249600E-03
2.59765700E-04,2.31725200E-03
2.60937500E-04,2.31204300E-03
2.62109400E-04,2.30686800E-03
2.63281300E-04,2.30172800E-03
2.64453200E-04,2.29662300E-03
2.65625000E-04,2.29155200E-03
2.66796900E-04,2.28651300E-03
2.67968800E-04,2.28150800E-03
2.69140700E-04,2.27653600E-03
2.70312500E-04,2.27159600E-03
2.71484400E-04,2.26668800E-03
2.72656300E-04,2.26181100E-03
2.73828200E-04,2.25696600E-03
2.75000000E-04,2.25215300E-03
2.76171900E-04,2.24736900E-03
2.77343800E-04,2.24261600E-03
2.78515700E-04,2.23789300E-03
2.79687500E-04,2.23320000E-03
2.80859400E-04,2.22853600E-03
2.82031300E-04,2.22390100E-03
2.83203200E-04,2.21929500E-03
2.84375000E-04,2.21471800E-03
2.85546900E-04,2.21016900E-03
2.86718800E-04,2.20564800E-03
2.87890700E-04,2.20115400E-03
2.89062500E-04,2.19668800E-03
2.90234400E-04,2.19224900E-03
2.91406300E-04,2.18783600E-03
2.92578200E-04,2.18345000E-03
2.93750000E-04,2.17909100E-03
2.94921900E-04,2.17475700E-03
2.96093800E-04,2.17044900E-03
2.97265700E-04,2.16616700E-03
2.98437500E-04,2.16191000E-03
2.99609400E-04,2.15767800E-03
3.00781300E-04,2.15347000E-03
3.01953200E-04,2.14928700E-03
3.03125000E-04,2.14512900E-03
3.04296900E-04,2.14099400E-03
3.05468800E-04,2.13688400E-03
3.06640700E-04,2.13279700E-03
3.07812500E-04,2.12873300E-03
3.08984400E-04,2.12469200E-03
3.10156300E-04,2.12067500E-03
3.11328200E-04,2.11668000E-03
3.12500000E-04,2.11270700E-03
3.13671900E-04,2.10875700E-03
3.14843800E-04,2.10482900E-03
3.16015700E-04,2.10092300E-03
3.17187500E-04,2.09703800E-03
3.18359400E-04,2.09317500E-03
3.19531300E-04,2.08933300E-03
3.20703200E-04,2.08551200E-03
3.21875000E-04,2.08171300E-03
3.23046900E-04,2.07793300E-03
3.24218800E-04,2.07417500E-03
3.26562500E-04,2.06671800E-03
3.28906300E-04,2.05934100E-03
3.31250000E-04,2.05204300E-03
3.33593800E-04,2.04482200E-03
3.35937500E-04,2.03767700E-03
3.38281300E-04,2.03060500E-03
3.40625000E-04,2.02360700E-03
3.42968800E-04,2.01668100E-03
3.45312500E-04,2.00982600E-03
3.47656300E-04,2.00303900E-03
3.50000000E-04,1.99632200E-03
3.52343800E-04,1.98967100E-03
3.54687500E-04,1.98308600E-03
3.57031300E-04,1.97656700E-03
3.59375000E-04,1.97011100E-03
3.61718800E-04,1.96371800E-03
3.64062500E-04,1.95738700E-03
3.66406300E-04,1.95111600E-03
3.68750000E-04,1.94490600E-03
3.71093800E-04,1.93875500E-03
3.73437500E-04,1.93266100E-03
3.75781300E-04,1.92662500E-03
3.78125000E-04,1.92064500E-03
3.80468800E-04,1.91472000E-03
3.82812500E-04,1.90885000E-03
3.85156300E-04,1.90303300E-03
3.87500000E-04,1.89726900E-03
3.89843800E-04,1.89155700E-03
3.92187500E-04,1.88589700E-03
3.94531300E-04,1.88028700E-03
3.96875000E-04,1.87472700E-03
