82-Pb-208(n,&gamma;) ENDF/B-VII.1
278313.0,0.00112167
278360.0,8.94281E-4
278408.0,7.28995E-4
278463.0,5.88762E-4
278526.0,4.74375E-4
278589.0,3.92059E-4
278668.0,3.18322E-4
278746.0,2.65685E-4
278841.0,2.20441E-4
278951.0,1.83283E-4
279077.0,1.53857E-4
279219.0,1.30811E-4
279408.0,1.10107E-4
279629.0,9.44076E-5
279913.0,8.16992E-5
280275.0,7.19233E-5
280748.0,6.44581E-5
281457.0,5.85356E-5
282718.0,5.40217E-5
285239.0,5.14519E-5
287445.0,5.10873E-5
298791.0,5.39493E-5
310360.0,6.00924E-5
318288.0,6.77547E-5
321259.0,7.37792E-5
322339.0,7.96732E-5
322846.0,8.66435E-5
323150.0,9.5542E-5
323352.0,1.06802E-4
323501.0,1.21311E-4
323602.0,1.37308E-4
323683.0,1.56648E-4
323761.0,1.8477E-4
323820.0,2.16762E-4
323870.0,2.56769E-4
323913.0,3.0424E-4
323955.0,3.72795E-4
323989.0,4.519E-4
324021.0,5.59321E-4
324048.0,6.8835E-4
324073.0,8.59919E-4
324096.0,0.00107963
324115.0,0.00133487
324134.0,0.00168817
324150.0,0.00210053
324167.0,0.00270189
324185.0,0.00353496
324225.0,0.00576706
324236.0,0.00616075
324245.0,0.00625505
324257.0,0.00604156
324274.0,0.00526413
324304.0,0.00346744
324322.0,0.00268428
324338.0,0.00210404
324355.0,0.00167608
324374.0,0.00132641
324394.0,0.00106887
324417.0,8.52579E-4
324439.0,6.97857E-4
324466.0,5.66369E-4
324498.0,4.57147E-4
324532.0,3.76907E-4
324574.0,3.07632E-4
324617.0,2.59621E-4
324667.0,2.19353E-4
324726.0,1.87278E-4
324804.0,1.59191E-4
324905.0,1.36278E-4
325027.0,1.19655E-4
325196.0,1.06423E-4
325445.0,9.62108E-5
325851.0,8.91352E-5
326593.0,8.54624E-5
327066.0,8.51463E-5
329632.0,9.01033E-5
333143.0,1.03991E-4
335676.0,1.1955E-4
337957.0,1.40666E-4
339781.0,1.6412E-4
341605.0,1.98655E-4
342974.0,2.35028E-4
344114.0,2.7817E-4
345026.0,3.23397E-4
345938.0,3.83117E-4
346736.0,4.51226E-4
347649.0,5.56761E-4
348447.0,6.85213E-4
349131.0,8.39279E-4
349612.0,9.8194E-4
350201.0,0.00119334
350791.0,0.0014809
351381.0,0.00185987
352254.0,0.00263977
352952.0,0.00346959
